"location_id","location_name","parent_id","level","authority","facility_level","medical_bureaus","operational_status","ownership","private_facilities","public_facilities","reporting_status","path_to_top_parent","region_name","district_name","DLG_name","subcounty_name","latitude","longitude","geom_enhanced","facility_level_2","facility_type"
"pTrRXtAg5IR","Budadiri Health Centre IV","HLymn5haKX6",6,"Local Government","HC IV",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,Dt6qdenPX1E,wJ2a6YKDFZW,VDARuLj3PM6,HLymn5haKX6,pTrRXtAg5IR","Bugisu","Sironko District","Sironko DLG","Budadiri Town Council",1.170437,34.333948,NA,"clinic","gov_HC"
"pTyAADC0eir","Falcon Medicare Services Health Centre II","h7rS7d8M2jI",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,Jh70HJqgBFh,h7rS7d8M2jI,pTyAADC0eir","South Buganda","Wakiso District","Nansana Municipality","Nansana Division",0.368996,32.5232025,1,"clinic","private"
"pU05OnkKQJD","Hope Missionary Hospital","PFkULd44r0L",6,"UPMB","General Hospital","UPMB","Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y,AsqOLnI3J1N,PFkULd44r0L,pU05OnkKQJD","Bukedi","Tororo District","Tororo DLG","Rubongi Subcounty",0.7012667,34.1104186,1,"hospital","private_hosp"
"pUIAC7lwrkb","Doctorplus Medical and Surgical Solutions Health Centre III","a9Gy7Imvd9F",6,"Private Authority","HC III",NA,"Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y,PhlThQ2Me7v,a9Gy7Imvd9F,pUIAC7lwrkb","Bukedi","Tororo District","Tororo Municipality","Western Division",0.6932931,34.1848196,1,"clinic","private"
"pUZjhP8bvwF","Bujuuko Health Centre III","OsIhf9n3bXq",6,"UCBHCA","HC III",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,IEU0FjDAhBP,YMMexeHFUay,cloKnT9R95J,OsIhf9n3bXq,pUZjhP8bvwF","South Buganda","Mpigi District","Mpigi DLG","Muduuma Subcounty",0.331131,32.37322,NA,"clinic","private"
"pUeR6j03GhJ","Alop Health Centre II","FihNC5KfGJV",6,"Local Government","HC II",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,SUvODYOcaVf,ztIyIYAzFKp,it2iwePQWDT,FihNC5KfGJV,pUeR6j03GhJ","Acholi","Agago District","Agago DLG","Adilang Subcounty",2.668848,33.4502,NA,"clinic","gov_HC"
"pV5YpeM0oLT","Gotkamba Medical Clinic and Laboratory Services","LCwXysTFNOm",6,"Private Authority","Clinic",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,BD3XaQ7cQAp,A4aGXEfdb8P,Jbvmkz8R3Rq,LCwXysTFNOm,pV5YpeM0oLT","West Nile","Zombo District","Zombo DLG","Alangi Subcounty",NA,NA,NA,"clinic","private"
"pVtYCy55mn4","Gulu Women Prisons Health Centre II","xN3BZZ5MtYs",6,"UPS","HC II",NA,"Functional","GOV",NA,"UPS","Reporting","akV6429SUqu,SUvODYOcaVf,szlrGpmFlu9,AaEdnyGpKsv,xN3BZZ5MtYs,pVtYCy55mn4","Acholi","Gulu City","Gulu City Council","Bar-Dege Layibi Division",2.7576774,32.3163764,1,"clinic","gov_HC"
"pWLKmwIgdyg","Muleete Community Health Centre II","tbeOaj6xo98",6,"Private Authority","HC II",NA,"Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,Dl9WvtvDs5V,lzWuB6bCQeV,aA4KihJedni,tbeOaj6xo98,pWLKmwIgdyg","North Buganda","Mubende District","Mubende DLG","Kyenda Town Council",0.503589,31.439931,NA,"clinic","private"
"pWldExa8Ojf","Ebenezer Gifted Hands Dental Clinic","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,pWldExa8Ojf","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.355667,32.614313,NA,"clinic","private"
